zh_title,en_title,zh_def,en_def,category,tags,example,details
什么b人,what pussy man,,,pai语,基础,,
太有实力了,too have true-ly le,,,pai语,谐音,,这个巧妙
干什么活,fuck what live,,,pai语,,“我该干活儿了” “fuck what live”,
有梦想谁都了不起,have hope who all know no up,,,pai语,长难句,,“了”翻译成“know” 非常有韵味
没法解释,no law explain,,,pai语,基础,,
做决定,make foot ass,,,pai语,谐音,,脚=jue + ass=腚 -> 做jue腚 令人忍俊不禁
他为什么不Q我,he why no Q me,,,pai语,基础,,
大的一逼的雨,big's a pussy's rain,,,pai语,复合句,,'s为'的'的固定用法
我的牛子,my cowson,,,pai语,基础,,此处'的'包含在my中 故不用's
老外,old out,,,pai语,基础,,
副驾,sub-drive,,,pai语,基础,,
反光,anti-light,,,pai语,基础,,
安全的一逼,safe's one pussy,,,pai语,基础,,
安全到逼里了,safe till mom's pussy,,,pai语,特殊,,真的很安全
为什么不玩货币战争,why no play money war,,,pai语,特殊,,于崩铁3.7期间问世 并非纯血pai语
说jb(呢),speaking dick,,,pai语,基础,,
我真是草了,I is fucked,,,pai语,高难句,,true无论音节还是整句长度的增加都影响整体语感 故略 // 了可以表示过去式 直接用fuck的过去式ed表示 故略
我不去,I no go,,,pai语,基础,,
我日,I sun,,,pai语,基础,,
打不打,beat no beat,,,pai语,基础,"beat no beat? no beat I myself beat",
越来越好,gooder and gooder,,,pai语言,松派,,摒弃了庸俗不堪的better n better 回归本源的gooder and gooder诞生了！
人类生物学,renology,,,pai语,松派,,巧妙运用双语







